,Name,Address,Alcohol Served,Smoking Permitted,Price Range,Ambiance,Area,Rating,Cuisine Variety,Operating Hours,Days,gps_link
80,puesto de tacos,"esquina santos degollado y leon guzman, s.l.p., s.l.p., mexico",no,no,low,familiar,open,medium,Mexican,09:00-12:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1473922,-100.983092"
131,El Rincï¿½n de San Francisco,"Universidad 169, San Luis Potosi, San Luis Potosi, Mexico",yes,yes,medium,familiar,open,high,Mexican,18:00-21:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1497088,-100.9760928"
345,shi ro ie,tamaulipas,yes,yes,high,familiar,open,high,Japanese,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1499013,-100.9937793"
375,Abondance Restaurante Bar,"Industrias 908 Valle Dorado, San Luis Potosi, SLP, Mexico",yes,no,low,familiar,closed,medium,Bar,09:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.140129,-100.944872"
553,Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Fast_Food,08:00-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955"
560,Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,medium,Fast_Food,08:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955"
592,Tortas y hamburguesas el gordo,"Ricardo B. Anaya, San Luis Potosi, San Luis Potosi, Mexico",no,no,low,familiar,closed,medium,Burgers,10:30-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1430781,-100.9354788"
639,Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273"
641,Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273"
657,Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273"
671,rockabilly ,"agustin de iturbide, san luis potosi, san luis potosi, mexico",yes,yes,low,quiet,closed,high,Bar,16:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1500193,-100.9799203"
691,Unicols Pizza,"Plaza del Carmen, San Luis Potosi, San Luis Potosi, Mexico",yes,no,low,familiar,closed,high,Italian,10:30-22:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1513782,-100.9746337"
748,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
772,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
785,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
852,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
897,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,medium,International,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
935,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
943,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
953,La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148"
1033,Restaurant and Bar and Clothesline Carlos N Charlies,"Domingo 10 711 El Empleado, Cuernavaca, Morelos, Mexico",yes,yes,high,familiar,closed,medium,Bar,13:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=18.948657,-99.235361"
1232,Mariscos Tia Licha,"avenida salvador montiel , cuernavaca, morelos, mexico",no,no,medium,familiar,closed,high,Family,10:00-19:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=18.9257734,-99.2326355"
1267,Restaurante y Pescaderia Tampico,"Ricardo B. Anaya 2700 Estrella de Oriente, San Luis Potosi, SLP, Mexico",no,no,high,familiar,closed,low,Seafood,07:00-19:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.140626,-100.915657"
1409,La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,low,Cafeteria,11:00-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861"
1469,La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Pizzeria,11:00-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861"
1512,La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Pizzeria,11:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861"
1593,La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,medium,Pizzeria,11:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861"
1601,La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,medium,Fast_Food,11:00-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861"
1802,Preambulo Wifi Zone Cafe,"Anahuac 805, San Luis Potosi, SLP, Mexico",no,no,medium,quiet,closed,medium,Cafe-Coffee_Shop,00:00-00:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.14788,-100.989472"
1940,El Herradero Restaurante and Bar,"Costado Sur Central Camionera Km 2, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,high,Bar,13:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.145992,-100.955118"
1946,El Herradero Restaurante and Bar,"Costado Sur Central Camionera Km 2, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,high,Bar,13:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.145992,-100.955118"
2177,la parroquia,"venustiano carranza, san luis potosi, san luis potosi, ?",no,no,medium,familiar,closed,high,Breakfast-Brunch,08:00-13:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1603808,-100.9880447"
2369,Hamburguesas La perica,"cd. mier, victoria, Tamaulipas, Mexico",no,yes,low,quiet,open,high,Mexican,19:00-02:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=23.7588052,-99.1651297"
2394,Restaurante El Reyecito,"Agricultura 595 del Valle, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,high,Fast_Food,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.141282,-101.002958"
2403,Restaurante El Reyecito,"Agricultura 595 del Valle, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,high,Fast_Food,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.141282,-101.002958"
2565,emilianos,"venustiano carranza, san luis potos, mexico, ?",yes,no,low,familiar,closed,high,Bar_Pub_Brewery,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.147622,-101.0102749"
2587,Restaurant Bar Hacienda los Martinez,"Santos Degollado 745 los Alamitos, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,low,Bar,12:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.145108,-100.989547"
2659,Michiko Restaurant Japones,"Cordillera de Los Alpes 160 Lomas 2 Seccion, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,high,Japanese,13:30-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.140517,-101.021422"
2736,la Cochinita Pibil Restaurante Yucateco,"Venustiano Carranza 2175 Jardin, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Mexican,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.148854,-101.008472"
2787,la Cochinita Pibil Restaurante Yucateco,"Venustiano Carranza 2175 Jardin, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Mexican,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.148854,-101.008472"
2793,la Cochinita Pibil Restaurante Yucateco,"Venustiano Carranza 2175 Jardin, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Mexican,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.148854,-101.008472"
2841,Restaurante la Parroquia Potosina,"Venustiano Carranza 303 Centro, San Luis Potosi, SLP, Mexico",yes,yes,high,familiar,closed,high,Contemporary,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.149689,-100.999525"
2874,El Oceano Dorado,"Libramiento Burgos Colonia Las Animas, Cuernavaca, Morelos, Mexico",yes,yes,medium,familiar,open,high,Mexican,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=18.859803,-99.222164"
2911,Gordas de morales,"?, ?, San Luis Potosi, Mexico",yes,yes,medium,familiar,closed,high,Mexican,00:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1489337,-101.019845"
2919,Gordas de morales,"?, ?, San Luis Potosi, Mexico",yes,yes,medium,familiar,closed,medium,Mexican,06:30-15:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1489337,-101.019845"
2934,Gordas de morales,"?, ?, San Luis Potosi, Mexico",yes,yes,medium,familiar,closed,high,Mexican,06:30-15:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1489337,-101.019845"
2980,Subway,"Rio Mayo 17 Vista Hermosa, Cuernavaca, Morelos, Mexico",no,no,low,familiar,closed,high,Fast_Food,00:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=18.933537,-99.222497"
2988,Subway,"Rio Mayo 17 Vista Hermosa, Cuernavaca, Morelos, Mexico",no,no,low,familiar,closed,low,Fast_Food,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=18.933537,-99.222497"
3010,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3041,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3070,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3096,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar_Pub_Brewery,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3130,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3135,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3154,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3171,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3237,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3371,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,medium,Bar,08:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3395,La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412"
3484,vips,tamaulipas,yes,no,medium,familiar,closed,medium,Mexican,00:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=23.7529821,-99.1684341"
3500,vips,tamaulipas,yes,no,medium,familiar,closed,low,Mexican,00:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=23.7529821,-99.1684341"
3523,vips,tamaulipas,yes,no,medium,familiar,closed,medium,Mexican,00:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=23.7529821,-99.1684341"
3666,Restaurante la Cantina,"De La Estrella 2005 Estrella de Oriente, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,low,Bar,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.126375,-100.910926"
3809,Restaurante la Cantina,"De La Estrella 2005 Estrella de Oriente, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,medium,Bar_Pub_Brewery,13:00-20:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.126375,-100.910926"
3872,Gorditas Doa Gloria,"sevilla y olmedo 715 a, san luis potosi, san luis potosi, mexico",no,no,low,familiar,closed,high,Mexican,00:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.156469,-100.98554"
3994,Restaurante Bar Fu-hao,"Jesus Goytortua 390 Tangamanga, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,medium,Bar,11:00-22:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.142017,-100.999246"
4069,Carls Jr,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",no,no,medium,familiar,closed,high,Burgers,10:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1480965,-101.0173023"
4199,Gorditas Dona Tota,"Zaragoza entre Francisco Zarco y Lopez Velarde, Cd. Victoria, Tamaulipas, Mexico",no,no,medium,familiar,closed,low,Mexican,09:00-20:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=23.7292162,-99.1323571"
4263,Pizzeria Julios,"?, s.l.p, mexico, ?",no,no,medium,familiar,closed,medium,American,09:00-21:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1735955,-100.9946027"
4308,Cafe Chaires,"?, San Luis Potosi, San Luis Potosi, Mexico",no,no,low,familiar,closed,high,Cafeteria,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1416471,-100.9927118"
4320,Cafe Chaires,"?, San Luis Potosi, San Luis Potosi, Mexico",no,no,low,familiar,closed,medium,Cafeteria,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1416471,-100.9927118"
4368,tacos los volcanes,"avenida hivno nacional, san luis potosi, san luis potos, mexico",no,no,low,quiet,closed,medium,American,10:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1449787,-101.0056829"
4386,tacos los volcanes,"avenida hivno nacional, san luis potosi, san luis potos, mexico",no,no,low,quiet,closed,high,American,10:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1449787,-101.0056829"
4445,Little Cesarz,"?, Ciudad Victoria, Tamaulipas, Mexico",no,no,medium,familiar,closed,high,Pizzeria,09:00-21:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=23.7527071,-99.1625655"
4461,Little Cesarz,"?, Ciudad Victoria, Tamaulipas, Mexico",no,no,medium,familiar,closed,high,Pizzeria,10:30-22:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=23.7527071,-99.1625655"
4480,Little Cesarz,"?, Ciudad Victoria, Tamaulipas, Mexico",no,no,medium,familiar,closed,medium,Pizzeria,10:30-22:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=23.7527071,-99.1625655"
4524,Little Cesarz,"?, Ciudad Victoria, Tamaulipas, Mexico",no,no,medium,familiar,closed,medium,Pizzeria,10:30-22:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=23.7527071,-99.1625655"
4605,Restaurant Orizatlan,"Pascual M. Hernandez 240, San Luis Potosi, SLP, Mexico",yes,no,medium,familiar,closed,low,Mexican,08:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.147145,-100.974494"
4623,Restaurant Orizatlan,"Pascual M. Hernandez 240, San Luis Potosi, SLP, Mexico",yes,no,medium,familiar,closed,medium,Mexican,08:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.147145,-100.974494"
4667,Restaurant Orizatlan,"Pascual M. Hernandez 240, San Luis Potosi, SLP, Mexico",yes,no,medium,familiar,closed,high,Mexican,08:00-19:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.147145,-100.974494"
4712,Restaurant Familiar El Chino,"Paseo de las Fuentes, Jiutepec, Morelos, ?",yes,yes,medium,familiar,open,high,Vietnamese,12:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=18.8820871,-99.1630268"
4723,Restaurant de Mariscos de Picon,"Miguel Barragan 46 Centro, San Luis Potosi, SLP, Mexico",no,yes,low,familiar,closed,low,Seafood,10:00-20:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.145893,-100.97487"
4744,Restaurant de Mariscos de Picon,"Miguel Barragan 46 Centro, San Luis Potosi, SLP, Mexico",no,yes,low,familiar,closed,low,Seafood,10:00-20:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.145893,-100.97487"
4965,puesto de gorditas,"frente al tecnologico, victoria, tamaulipas, mexico",no,yes,low,familiar,open,low,Regional,08:00-12:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=23.7523041,-99.1669133"
5003,Mariscos El Pescador,"Himno Nacional 2104 Tangamanga, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Seafood,00:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.139573,-100.991564"
5094,Cafeteria cenidet,"Interior Internado Palmira SN, Cuernavaca, Morelos, Mexico",no,no,low,quiet,closed,medium,Cafeteria,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=18.8760113,-99.2198896"
5159,Restaurante Tiberius,"Munoz Sn Centro, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Pizzeria,13:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.165587,-101.001273"
5327,Cafeteria y Restaurant El Pacifico,"Constitucion 200 Centro, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,high,Contemporary,07:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.152481,-100.973486"
5372,Cafeteria y Restaurant El Pacifico,"Constitucion 200 Centro, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,low,Cafeteria,07:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.152481,-100.973486"
5401,Cafeteria y Restaurant El Pacifico,"Constitucion 200 Centro, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,low,Cafeteria,07:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.152481,-100.973486"
5494,Cafeteria y Restaurant El Pacifico,"Constitucion 200 Centro, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,medium,Contemporary,07:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.152481,-100.973486"
5539,Cafeteria y Restaurant El Pacifico,"Constitucion 200 Centro, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,high,Cafeteria,07:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.152481,-100.973486"
5571,Cafeteria y Restaurant El Pacifico,"Constitucion 200 Centro, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,medium,Contemporary,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.152481,-100.973486"
5856,La Virreina,"Av. Carranza 830, San Luis Potosi, SLP, Mexico",yes,no,medium,familiar,closed,medium,Mexican,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.146658,-100.987219"
6014,Tortas Locas Hipocampo,"Venustiano Carranza 719 Centro, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,medium,Fast_Food,00:00-00:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.150802,-100.98268"
6078,Tortas Locas Hipocampo,"Venustiano Carranza 719 Centro, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,medium,Fast_Food,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.150802,-100.98268"
6117,la perica hamburguesa,"?, victoria, tamaulipas, ?",no,no,medium,familiar,closed,high,Italian,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=23.7375834,-99.1351318"
6148,Chaires,"Ricardo B. Anaya, San Luis Potosi, San Luis Potosi, Mexico",no,no,medium,familiar,closed,medium,Cafeteria,09:00-22:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1412198,-100.9313107"
6229,Sushi Itto,"Venustiano Carranza 1809 C Polanco, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Japanese,13:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.149192,-101.002936"
6235,Sushi Itto,"Venustiano Carranza 1809 C Polanco, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Japanese,13:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.149192,-101.002936"
