Name,Address,Alcohol Served,Smoking Permitted,Price Range,Ambiance,Area,Rating,Cuisine Variety,Operating Hours,Days,gps_link,restaurant_feature
puesto de tacos,"esquina santos degollado y leon guzman, s.l.p., s.l.p., mexico",no,no,low,familiar,open,medium,Mexican,09:00-12:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1473922,-100.983092","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
El Rincï¿½n de San Francisco,"Universidad 169, San Luis Potosi, San Luis Potosi, Mexico",yes,yes,medium,familiar,open,high,Mexican,18:00-21:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1497088,-100.9760928","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
shi ro ie,tamaulipas,yes,yes,high,familiar,open,high,Japanese,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1499013,-100.9937793","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Abondance Restaurante Bar,"Industrias 908 Valle Dorado, San Luis Potosi, SLP, Mexico",yes,no,low,familiar,closed,medium,Bar,09:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.140129,-100.944872","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,low,Fast_Food,08:00-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Mcdonalds Parque Tangamanga,"Lateral Salvador Nava Martinez 3145, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,medium,Fast_Food,08:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.141421,-101.013955","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Tortas y hamburguesas el gordo,"Ricardo B. Anaya, San Luis Potosi, San Luis Potosi, Mexico",no,no,low,familiar,closed,medium,Burgers,10:30-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1430781,-100.9354788","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Sirlone,"carr. mexico, San Luis Potosi, San Luis Potosi, Mexico",yes,no,medium,familiar,closed,high,International,10:30-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1378633,-100.9383273","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
rockabilly ,"agustin de iturbide, san luis potosi, san luis potosi, mexico",yes,yes,low,quiet,closed,high,Bar,16:00-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1500193,-100.9799203","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Unicols Pizza,"Plaza del Carmen, San Luis Potosi, San Luis Potosi, Mexico",yes,no,low,familiar,closed,high,Italian,10:30-22:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1513782,-100.9746337","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,high,International,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,medium,International,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Posada del Virrey,"Av. V. Carranza, San Luis Potosi, San Luis Potosi, Mexico",yes,no,high,familiar,closed,low,International,09:30-23:30;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1506429,-100.9870148","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Restaurant and Bar and Clothesline Carlos N Charlies,"Domingo 10 711 El Empleado, Cuernavaca, Morelos, Mexico",yes,yes,high,familiar,closed,medium,Bar,13:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=18.948657,-99.235361","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Mariscos Tia Licha,"avenida salvador montiel , cuernavaca, morelos, mexico",no,no,medium,familiar,closed,high,Family,10:00-19:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=18.9257734,-99.2326355","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Restaurante y Pescaderia Tampico,"Ricardo B. Anaya 2700 Estrella de Oriente, San Luis Potosi, SLP, Mexico",no,no,high,familiar,closed,low,Seafood,07:00-19:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.140626,-100.915657","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,low,Cafeteria,11:00-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Pizzeria,11:00-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Pizzeria,11:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,medium,Pizzeria,11:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Fontana Pizza Restaurante and Cafe,"Satelite 606 Satelite, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,medium,Fast_Food,11:00-22:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.178931,-101.012861","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Preambulo Wifi Zone Cafe,"Anahuac 805, San Luis Potosi, SLP, Mexico",no,no,medium,quiet,closed,medium,Cafe-Coffee_Shop,00:00-00:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.14788,-100.989472","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
El Herradero Restaurante and Bar,"Costado Sur Central Camionera Km 2, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,high,Bar,13:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.145992,-100.955118","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
El Herradero Restaurante and Bar,"Costado Sur Central Camionera Km 2, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,high,Bar,13:00-23:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.145992,-100.955118","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
la parroquia,"venustiano carranza, san luis potosi, san luis potosi, ?",no,no,medium,familiar,closed,high,Breakfast-Brunch,08:00-13:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=22.1603808,-100.9880447","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Hamburguesas La perica,"cd. mier, victoria, Tamaulipas, Mexico",no,yes,low,quiet,open,high,Mexican,19:00-02:00;,Sun;,"https://www.google.com/maps/search/?api=1&query=23.7588052,-99.1651297","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Restaurante El Reyecito,"Agricultura 595 del Valle, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,high,Fast_Food,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.141282,-101.002958","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Restaurante El Reyecito,"Agricultura 595 del Valle, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,high,Fast_Food,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.141282,-101.002958","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
emilianos,"venustiano carranza, san luis potos, mexico, ?",yes,no,low,familiar,closed,high,Bar_Pub_Brewery,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.147622,-101.0102749","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Restaurant Bar Hacienda los Martinez,"Santos Degollado 745 los Alamitos, San Luis Potosi, SLP, Mexico",yes,yes,medium,familiar,closed,low,Bar,12:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.145108,-100.989547","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Michiko Restaurant Japones,"Cordillera de Los Alpes 160 Lomas 2 Seccion, San Luis Potosi, SLP, Mexico",no,no,medium,familiar,closed,high,Japanese,13:30-23:00;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.140517,-101.021422","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
la Cochinita Pibil Restaurante Yucateco,"Venustiano Carranza 2175 Jardin, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Mexican,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.148854,-101.008472","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
la Cochinita Pibil Restaurante Yucateco,"Venustiano Carranza 2175 Jardin, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Mexican,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.148854,-101.008472","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
la Cochinita Pibil Restaurante Yucateco,"Venustiano Carranza 2175 Jardin, San Luis Potosi, SLP, Mexico",no,yes,high,familiar,closed,high,Mexican,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.148854,-101.008472","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Restaurante la Parroquia Potosina,"Venustiano Carranza 303 Centro, San Luis Potosi, SLP, Mexico",yes,yes,high,familiar,closed,high,Contemporary,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.149689,-100.999525","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
El Oceano Dorado,"Libramiento Burgos Colonia Las Animas, Cuernavaca, Morelos, Mexico",yes,yes,medium,familiar,open,high,Mexican,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=18.859803,-99.222164","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Gordas de morales,"?, ?, San Luis Potosi, Mexico",yes,yes,medium,familiar,closed,high,Mexican,00:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.1489337,-101.019845","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Gordas de morales,"?, ?, San Luis Potosi, Mexico",yes,yes,medium,familiar,closed,medium,Mexican,06:30-15:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1489337,-101.019845","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Gordas de morales,"?, ?, San Luis Potosi, Mexico",yes,yes,medium,familiar,closed,high,Mexican,06:30-15:00;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=22.1489337,-101.019845","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Subway,"Rio Mayo 17 Vista Hermosa, Cuernavaca, Morelos, Mexico",no,no,low,familiar,closed,high,Fast_Food,00:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=18.933537,-99.222497","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
Subway,"Rio Mayo 17 Vista Hermosa, Cuernavaca, Morelos, Mexico",no,no,low,familiar,closed,low,Fast_Food,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,"https://www.google.com/maps/search/?api=1&query=18.933537,-99.222497","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
La Cantina Restaurante,"Ignacio Aldama 300 Centro, San Luis Potosi, SLP, Mexico",yes,no,high,familiar,closed,high,Bar,08:00-23:30;,Sat;,"https://www.google.com/maps/search/?api=1&query=22.150981,-100.977412","{'Cuisine Variety': 'Cafeteria', 'Area': 'closed', 'Ambiance': 'quite', 'Rating': 'high', 'Alcohol Served': 'yes', 'Smoking Permitted': 'no', 'Price Range': 'medium'}"
